id,denominacion_social_real,tipo_entidad,region_sede,cartera_estimada_mxn,tier_pricing_objetivo,competidor_actual,puntos_dolor_clave,estatus_funnel_mes1,contacto_target_role,prioridad_score
28,"Acceso Directo JLM, S.A.P.I de C.V., SOFOM, E.N.R",SOFOM ENR / Arrendadora,"Monterrey, NL","$315,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
29,"Access K, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$325,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
30,"Accifin, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$335,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
31,"Acciona Financiación de México, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$345,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
32,"Aceleradora Adrenalina, S.A. de C.V., SOFOM ENR",SOFOM ENR / Arrendadora,"Mérida, YUC","$355,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
33,"Aceleradora Damasco, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$365,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
34,"Aceleradora Premier, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$375,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
35,"Acervo Económico, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$385,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
36,"Acrese, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$395,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
37,"Acsein, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$405,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
38,"Actividades ABC, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$415,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
39,"Activos Axxis, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$425,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
40,"Adelante Veintiuno, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$35,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
41,"Adelanto Express, S.A. de C.V., SOFOM E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$45,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
42,"Administracion Financiera Alianza, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$55,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
43,"Administración Financiera SAM, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$65,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
44,"Administradora Aristo, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$75,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
45,"Administradora Avanza, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$85,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
46,"Administradora Liquicapital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$95,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
47,"Administradora Segumex, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$105,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
48,"Administradora Servicel, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$115,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
49,"Administradora Sierra Nevada, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$125,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
50,"Administradora de Colaterales Financieros, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$135,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
51,"Administradora de Dinero Popular, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$145,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
52,"Administradora de Inmuebles Samir, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$155,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
53,"Administradora de Préstamo Fácil, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$165,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
54,"Administradora de Soluciones, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$175,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
55,"Admiral Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$185,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
56,"Advantech Servicios Financieros, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$195,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
57,"Adventus Capital, S.A. DE C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$205,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
58,"Affluente Financiero, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$215,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
59,"Afflux Capital, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$225,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
60,"Afin Gana, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$235,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
61,"Afipyme, S.A. de C.V. SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$245,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
62,"Afix Servicios Financieros, S.A.P.I. de C.V., SOFOM, E.N.R",SOFOM ENR / Arrendadora,"Tijuana, BCN","$255,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
63,"Agilizando Tus Finanzas, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$265,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
64,"Agro Firme, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$275,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
65,"Agro Mon, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$285,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
66,"Agro Sofom, S.A.P.I. de C.V., SOFOM E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$295,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
67,"Agrocap del Norte, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$305,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
68,"Agrocapital del Noroeste, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$315,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
69,"Agrodansa Financiera, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$325,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
70,"Agrofinanciera Internacional, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$335,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
71,"Agrofinanciera de México, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$345,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
72,"Agrofinanciera del Noroeste, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$355,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
73,"Agrofinanciera el Valle, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$365,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
74,"Agrofinanciera la Laguna, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$375,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
75,"Agrofinanciera, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$385,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
76,"Agroimpulso Express, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$395,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
77,"Agrolagos, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$405,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
78,"Agronegocios LAAD, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$415,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
79,"Agronegocios de Chihuahua, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$425,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
80,"Agropecuaria Financiera, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$35,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Demostración Solicitada (Pipeline Activo),CEO / Director General / Director de Operaciones,Alta (90)
